E:\Program Files\AutoCAD 2008\Sample\colorwh.dwg,AutoCAD Color Index,2012-4-17 00:13:33,Administrator,DWFx ePlot (XPS Compatible).pc3,ISO A4 (297.00 x 210.00 毫米),1:0.0537428,
E:\Program Files\AutoCAD 2008\Sample\colorwh.dwg,True Color,2012-4-17 00:13:34,Administrator,DWFx ePlot (XPS Compatible).pc3,ISO A4 (297.00 x 210.00 毫米),1:0.0418895,
F:\AutoCAD二次开发实例教程\Book\程序\16章\Chap16\PlotSets\bin\Debug\Drawing1.dwg,Model,2012-4-19 10:27:32,Administrator,PDF-XChange 3.0,A4,1:24.9432,
F:\AutoCAD二次开发实例教程\Book\程序\16章\Chap16\PlotSets\bin\Debug\Drawing1.dwg,Model,2012-4-23 14:49:13,Administrator,DWFx ePlot (XPS Compatible).pc3,ISO A4 (297.00 x 210.00 毫米),1:1.14671e+018,
F:\AutoCAD二次开发实例教程\Book\程序\16章\Chap16\PlotSets\bin\Debug\Drawing1.dwg,Model,2012-4-23 15:00:42,Administrator,DWG To PDF.pc3,ANSI A (11.00 x 8.50 英寸),1:34.1265,
F:\AutoCAD二次开发实例教程\Book\程序\16章\Chap16\PlotSets\bin\Debug\Drawing1.dwg,Model,2012-4-23 15:03:29,Administrator,DWFx ePlot (XPS Compatible).pc3,ANSI A (8.50 x 11.00 英寸),1:30.1178,
F:\AutoCAD二次开发实例教程\Book\程序\16章\Chap16\PlotSets\bin\Debug\Drawing1.dwg,布局1,2012-4-23 16:27:50,Administrator,DWG To PDF.pc3,ISO A4 (210.00 x 297.00 毫米),1:1,
F:\AutoCAD二次开发实例教程\Book\程序\16章\Chap16\PlotSets\bin\Debug\Drawing1.dwg,布局1,2012-4-23 17:34:54,Administrator,DWG To PDF.pc3,ISO A4 (210.00 x 297.00 毫米),1:1,
F:\AutoCAD二次开发实例教程\Book\程序\16章\Chap16\PlotSets\bin\Debug\Drawing1.dwg,布局2,2012-4-23 17:34:54,Administrator,DWG To PDF.pc3,ISO A4 (210.00 x 297.00 毫米),1:1,
F:\AutoCAD二次开发实例教程\Book\程序\16章\Chap16\PlotSets\bin\Debug\Drawing1.dwg,布局1,2012-4-23 19:45:11,Administrator,DWG To PDF.pc3,ANSI A (11.00 x 8.50 英寸),1:1,
F:\AutoCAD二次开发实例教程\Book\程序\16章\Chap16\PlotSets\bin\Debug\Drawing1.dwg,布局2,2012-4-23 19:45:11,Administrator,DWG To PDF.pc3,ANSI A (11.00 x 8.50 英寸),1:1,
